BindingDB	Canonical_Smiles	IC50	PubChem
50448978	S=C(N)c1c[nH+]c2nc([nH]c2c1NCCCNC(=O)C1CCCC1)-c1ccc(OC)cc1	30000	76310923
50448979	s1cc(cc1C(=O)[O-])-c1cnc2nc([nH]c2c1OCCCNC(=O)C1CCCC1)-c1ccc(OC)cc1	30000	76325461
50448980	Brc1cnc2nc([nH]c2c1OCCCNC(=O)C1CCCC1)-c1ccc(OC)cc1	30000	76318141
50448981	s1cc(cc1C(=O)NCC(C)(C)C)-c1cc2[nH]c(nc2nc1)-c1ccc(OC)cc1	30000	76336291
50448982	s1cc(cc1C(=O)NCCC(C)C)-c1cc2[nH]c(nc2nc1)-c1ccc(OC)cc1	30000	76314564
27452	s1c(C#N)c(OCc2ccccc2S(=O)(=O)C)cc1-n1c2cc(OC)c(OC)cc2nc1	30000	11626927
50448984	s1cc(cc1C(=O)NCC(C)C)-c1cc2[nH]c(nc2nc1)-c1ccc(OC)cc1	30000	76321826
50448985	s1cc(cc1C(=O)NCC(CC)C)-c1cc2[nH]c(nc2nc1)-c1ccc(OC)cc1	30000	76325462
50448986	s1cc(cc1C(=O)NCC(CO)(C)C)-c1cc2[nH]c(nc2nc1)-c1ccc(OC)cc1	30000	76310924
50448987	s1cc(cc1C(=O)NCCOC)-c1cc2[nH]c(nc2nc1)-c1ccc(OC)cc1	30000	76318142
50448989	s1cc(cc1C(=O)C)-c1cc2[nH]c(nc2nc1)-c1ccc(OC)cc1	30000	76329006
50432355	n1c(-n2c3c(cc(cc3)C#N)cc2)ccnc1N	29100	71580741
50270701	O1CCN(CC1)c1ccc(N\C=C/2\c3c(cccc3)C(=O)NC\2=O)cc1	29000	24881869
50432362	n1c(N)ccnc1-n1c2cc(ccc2cc1)C#N	29000	71580637
50270700	O=C/1NC(=O)c2c(cccc2)\C\1=C\Nc1ccc(N2CC[NH+](CC2)C)cc1	28000	24881868
50295603	S1c2n(N=C1c1ccc(N)cc1)c(nn2)Cc1ccccc1	28000	405963
50295609	S1c2n(N=C1SCc1ccccc1)c(nn2)Cc1ccccc1	28000	405900
50295607	Clc1ccc(OCc2n3N=C(Sc3nn2)SCc2ccccc2)cc1	28000	405899
50295608	S1c2n(N=C1NN)c(nn2)Cc1ccccc1	28000	405916
50175103	O1NC(N2N=NC(C2C[NH+]2CCCCC2)c2[nH]c(nn2)-c2ccncc2)C(=N1)N	250000	11718220
