BindingDB	Canonical_Smiles	IC50	PubChem
50411410	s1c2c(CCN(S(=O)(=O)c3ccccc3)C2)c(C#N)c1NC(=O)c1c2c(ccc1)cccc2	15848.93	44431830
50411416	Brc1ccccc1C(=O)Nc1sc2c(CCCC2)c1C#N	15848.93	1100747
50411419	s1c2c(CCCC2)c(C#N)c1NC(=O)c1c2c(cccc2)c(F)cc1	15848.93	44431824
50365994	s1c2c(CCCC2)c(C#N)c1NC(=O)C1CCCCC1	15848.93	847353
50411411	s1c2c(CCCC2)c(C#N)c1NC(=O)c1ccsc1	15848.93	44431823
50411404	Brc1ccccc1CC(=O)Nc1sc2c(CCCC2)c1C#N	15848.93	44431825
50411413	s1c2c(CCCC2)c(C#N)c1NC(=O)c1ccccc1F	15848.93	766948
50411405	s1c2N(S(=O)(=O)c3ccccc3)CCCc2c(C#N)c1NC(=O)c1c2c(ccc1)cccc2	15848.93	44431834
50293514	Clc1cc(ccc1)-c1nc(Nc2cc[nH+]cc2)c2c(n1)cccc2	15000	9880709
50293515	s1cc(nc1-c1nc(Nc2cc[nH+]cc2)c2c(n1)cccc2)C	15000	10358578
50373215	Brc1cc2c(cc1)C(=O)N(Cc1ccc(S(=O)(=O)C)cc1)C(C(OC)=O)=C2c1ccccc1	11000	9958506
50373209	Brc1cc2c(cc1)C(=O)N(CCc1ccccc1)C(C(OC)=O)=C2c1ccccc1	1100	44451687
50373210	Brc1cc2c(cc1)C(=O)N(CC1CCCCC1)C(CO)=C2c1ccccc1	1100	23060924
50373213	Brc1cc2c(cc1)C(=O)N(CCCc1ccccc1)C(C(OC)=O)=C2c1ccccc1	1100	44451688
50373212	Brc1cc2c(cc1)C(=O)N(Cc1ccccc1)C(C(OC)=O)=C2c1ccccc1	1100	44451690
50373211	Brc1cc2c(cc1)C(=O)N(CC1CCCCC1)C(C(OC)=O)=C2c1ccccc1	1100	44451713
50373214	Brc1cc2c(cc1)C(=O)N(CC1CCCCC1)C(C(=O)[O-])=C2c1ccccc1	1100	23060985
15715	O=C(c1cnn(c1C#N)-c1ccccc1)c1ccccc1	100000	11630444
5718	OCCNc1nc(NCc2ccccc2)c2ncn(c2n1)C	100000	4592
15716	O=C1N(NC(C)=C1C(=O)c1ccccc1)c1ccccc1	100000	354929
50181532	s1c(cnc1Nc1ncnc2c1cc(OC)c(OCCC[NH+]1CCC(CC1)CO)c2)CC(=O)Nc1cc(F)ccc1	100000	9916282
50215481	O(C)c1cc2c3c([nH]c2cc1)C([NH+]1CC3CC1)C(=O)[O-]	100000	23661564
